834,834,834,834,834,834,834,834,834,834,,834,,832
238,IHS_LAG_4268B,CO-229021,Lagos,Upgrade/Colo,MTN,2G,27-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
239,IHS_LAG_4217B,CO-229017,Lagos,Upgrade/Colo,MTN,2G,30-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
240,IHS_TAR_1033B,CO-229019,Kano,Upgrade/Colo,MTN,2G,2-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,TOTAL SECURE NIGERIA LIMITED
241,IHS_TAR_1044B,CO-229023,Kano,Upgrade/Colo,MTN,2G,2-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,TOTAL SECURE NIGERIA LIMITED
242,IHS_ADA_0731E,CO-227918,Kano,Upgrade/Colo,MTN,2G,3-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Bedrock Multifunctions Limited
243,IHS_BAU_1023B,UC-228185,Abuja,Upgrade/Colo,MTN,3G,8-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,IHS
244,IHS_UYO_0009B,UC-228183,PHC,Upgrade/Colo,MTN,3G,23-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
245,IHS_AKW_0726E,UC-229070,PHC,Upgrade/Colo,MTN,3G,25-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
246,IHS_TAR_1033B,UC-229071,Kano,Upgrade/Colo,MTN,3G,2-Dec-22,Q4'22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,IHS
247,IHS_TAR_1044B,UC-229038,Kano,Upgrade/Colo,MTN,3G,2-Dec-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,IHS
248,IHS_ABJ_0055B,UC-228243,Abuja,Upgrade/Colo,MTN,3G,14-Nov-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,IHS
249,IHS_EDO_0761A,UC-227473,Asaba,Upgrade/Colo,MTN,LTE 2600,31-Aug-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
250,IHS_OND_0777A,UC-227534,Ibadan,Upgrade/Colo,MTN,LTE 2600,18-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
251,IHS_ABJ_0288B,UC-228281,Abuja,Upgrade/Colo,MTN,3G,25-Sep-22,Q3 '22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,IHS
252,IHS_BAU_1023B,UC-228196,Abuja,Upgrade/Colo,MTN,LTE 800,8-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,IHS
253,IHS_IMO_0041B,CO-227962,Enugu,Upgrade/Colo,MTN,2G,9-Nov-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,Star Solutions
254,IHS_IMO_0041B,UC-228250,Enugu,Upgrade/Colo,MTN,4G,9-Nov-22,Q4'22,Civil Work Completed and Power Not Required,RFI Completed,RRM,Rollout Project Manager,IHS
255,IHS_IMO_1339B,UC-228272,Enugu,Upgrade/Colo,MTN,LTE 800,15-Nov-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,IHS
256,IHS_UYO_0009B,UC-228194,PHC,Upgrade/Colo,MTN,LTE 800,23-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
257,IHS_AKW_0726E,UC-229077,PHC,Upgrade/Colo,MTN,LTE 800,25-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
258,IHS_TAR_1033B,UC-229078,Kano,Upgrade/Colo,MTN,LTE 800,2-Dec-22,Q4'22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,IHS
259,IHS_TAR_1044B,UC-229055,Kano,Upgrade/Colo,MTN,LTE 800,2-Dec-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,IHS
260,IHS_BAY_0706E,UC-229053,PHC,Upgrade/Colo,MTN,LTE 800,6-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
261,IHS_IMO_0704E,UC-228260,Enugu,Upgrade/Colo,MTN,4G,2-Dec-22,Q4'22,Civil Work Completed and Power Not Required,RFI Completed,RRM,Rollout Project Manager,IHS
262,IHS_NAS_0909C,UC-209757,Abuja,Upgrade/Colo,MTN,LTE 700,28-Jul-22,Q3 '22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,IHS
263,IHS_ABJ_0208B,UC-228232,Abuja,Upgrade/Colo,MTN,4G,25-Sep-22,Q3 '22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,IHS
264,IHS_LAG_4214B,UC-229042,Lagos,Upgrade/Colo,MTN,LTE 700,27-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
265,IHS_LAG_4243B,UC-229064,Lagos,Upgrade/Colo,MTN,LTE 700,27-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
266,IHS_LAG_4268B,UC-229076,Lagos,Upgrade/Colo,MTN,LTE 700,27-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
267,IHS_LAG_4217B,UC-229052,Lagos,Upgrade/Colo,MTN,LTE 700,30-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
268,IHS_PLA_0001B,UC-206266,Abuja,Upgrade/Colo,MTN,Fiber,21-Jul-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
269,IHS_PLA_0048B,UC-206272,Abuja,Upgrade/Colo,MTN,Fibre,21-Jul-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
270,IHS_PLA_0028V,UC-206284,Abuja,Upgrade/Colo,MTN,Fiber,21-Jul-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
271,IHS_ABJ_1732B,UC-219910,Abuja,Upgrade/Colo,MTN,Fibre,31-Dec-21,2021,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
272,IHS_LAG_1386A,UC-212572,Lagos,Upgrade/Colo,MTN,Fiber Power,26-May-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,BOLAMARK ENGINEERING LIMITED
273,IHS_NIG_0808A,UC-219890,Abuja,Upgrade/Colo,MTN,Fiber,6-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,JARUS IMPERIAL NIGERIA LIMITED
274,IHS_ABJ_0880A,UC-219882,Abuja,Upgrade/Colo,MTN,Fiber,23-Feb-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,JARUS IMPERIAL NIGERIA LIMITED
275,IHS_ABJ_1569H,UC-219863,Abuja,Upgrade/Colo,MTN,Fiber,22-Jan-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,JARUS IMPERIAL NIGERIA LIMITED
276,IHS_ABJ_1588H,UC-219836,Abuja,Upgrade/Colo,MTN,Fiber,27-Jan-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,JARUS IMPERIAL NIGERIA LIMITED
277,IHS_ABJ_0886A,UC-219892,Abuja,Upgrade/Colo,MTN,Fibre,10-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,JARUS IMPERIAL NIGERIA LIMITED
278,IHS_ABJ_1558H,UC-219883,Abuja,Upgrade/Colo,MTN,Fiber,10-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,JARUS IMPERIAL NIGERIA LIMITED
279,IHS_ABJ_1580H,UC-219925,Abuja,Upgrade/Colo,MTN,Fiber,14-Feb-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
280,IHS_ABJ_0895A,UC-219924,Abuja,Upgrade/Colo,MTN,Fiber,20-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
281,IHS_ABJ_0879A,UC-219912,Abuja,Upgrade/Colo,MTN,Fiber,20-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
282,IHS_ABJ_0742E,UC-219904,Abuja,Upgrade/Colo,MTN,Fiber,22-Jan-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,JARUS IMPERIAL NIGERIA LIMITED
283,IHS_ABJ_1240B,UC-219886,Abuja,Upgrade/Colo,MTN,Fiber,20-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
284,IHS_ABJ_1484C,UC-219878,Abuja,Upgrade/Colo,MTN,Fiber,11-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
285,IHS_ABJ_0221B,UC-219869,Abuja,Upgrade/Colo,MTN,Fiber,20-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
286,IHS_ABJ_1130A,UC-219866,Abuja,Upgrade/Colo,MTN,Fibre,20-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
287,IHS_ABJ_1475C,UC-219865,Abuja,Upgrade/Colo,MTN,Fiber,20-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
288,IHS_ABJ_1132A,UC-219857,Abuja,Upgrade/Colo,MTN,Fiber,20-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
289,IHS_ABJ_1105A,UC-226991,Abuja,Upgrade/Colo,MTN,5G,30-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,AR-SAEED INTERNATIONAL SERVICES LIMITED
290,IHS_ABJ_1061A,UC-219811,Abuja,Upgrade/Colo,MTN,Fiber,20-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
291,IHS_ABJ_1590H,UC-219893,Abuja,Upgrade/Colo,MTN,Fiber,30-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
292,IHS_ABJ_0706E,UC-219871,Abuja,Upgrade/Colo,MTN,Fiber,23-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
293,IHS_ABJ_1067A,UC-219831,Abuja,Upgrade/Colo,MTN,Fiber,22-Apr-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
294,IHS_ABJ_0981A,UC-219826,Abuja,Upgrade/Colo,MTN,Fiber,23-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
295,IHS_ABJ_1104A,UC-219824,Abuja,Upgrade/Colo,MTN,Fiber,23-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
296,IHS_ABJ_1745B,UC-226698,Abuja,Upgrade/Colo,MTN,Fiber,20-Jan-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
297,IHS_LAG_1387A,UC-226911,Lagos,Upgrade/Colo,MTN,Fiber,21-Mar-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,GLOVTEX TELECOMMUNICATION LIMITED
298,IHS_ABJ_1607H,UC-219915,Abuja,Upgrade/Colo,MTN,Fiber,25-May-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
299,IHS_ABJ_1246B,UC-219877,Abuja,Upgrade/Colo,MTN,Fiber,25-Aug-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
300,IHS_ABJ_1309C,UC-219875,Abuja,Upgrade/Colo,MTN,Fiber,14-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
301,IHS_ABJ_1269B,UC-219855,Abuja,Upgrade/Colo,MTN,Fiber,31-May-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
302,IHS_ABJ_1089A,UC-219842,Abuja,Upgrade/Colo,MTN,Fiber,24-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
303,IHS_ABJ_1046A,UC-219840,Abuja,Upgrade/Colo,MTN,Fiber,10-Aug-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
304,IHS_ABJ_1111A,UC-219820,Abuja,Upgrade/Colo,MTN,Fiber,19-Jan-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
305,IHS_LAG_1194A,UC-226724,Lagos,Upgrade/Colo,MTN,Fiber,8-Jun-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
306,IHS_KAN_0861A,UC-219916,Kano,Upgrade/Colo,MTN,Fiber,27-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Bedrock Multifunctions Limited
307,IHS_ABJ_0904A,UC-219891,Abuja,Upgrade/Colo,MTN,Fiber,7-Mar-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
308,IHS_ABJ_1565H,UC-219841,Abuja,Upgrade/Colo,MTN,Fiber,3-Apr-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
309,IHS_ABJ_1069A,UC-219810,Abuja,Upgrade/Colo,MTN,Fiber,28-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
310,IHS_LAG_1266A,UC-212571,Lagos,Upgrade/Colo,MTN,Fibre,29-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
311,IHS_ABJ_1146A,UC-219843,Abuja,Upgrade/Colo,MTN,Fiber,3-Jun-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
312,IHS_ABJ_1150A,UC-219856,Abuja,Upgrade/Colo,MTN,Fibre,14-Feb-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
313,IHS_ABJ_1156A,UC-226726,Abuja,Upgrade/Colo,MTN,Fiber,6-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
314,IHS_ABJ_1145A,UC-226718,Abuja,Upgrade/Colo,MTN,Fiber,11-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
315,IHS_IMO_0777A,UC-212589,Enugu,Upgrade/Colo,MTN,DWDM,16-Dec-22,Q4'22,Civil Work Completed and Power Not Required,RFI Completed,RRM,Rollout Project Manager,CONNIG TECHNOSERVE LIMITED
316,IHS_LAG_0522D,UC-211113,Lagos,Upgrade/Colo,Airtel,IPRAN,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,GLOVTEX TELECOMMUNICATION LIMITED
317,IHS_ABJ_0956A,CO-217603,Abuja,Upgrade/Colo,Spectranet,LTE,14-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,JARUS IMPERIAL NIGERIA LIMITED
318,IHS_OND_0034B,UC-216917,Ibadan,Upgrade/Colo,Airtel,L26,17-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,GLOVTEX TELECOMMUNICATION LIMITED
319,IHS_LAG_3979H,UC-216229,Lagos,Upgrade/Colo,MTN,L26,9-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,AR-SAEED INTERNATIONAL SERVICES LIMITED
320,IHS_LAG_0272B,UC-218469,Lagos,Upgrade/Colo,MTN,Aviat_eband,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IENGINEERING NIGERIA LIMITED
321,IHS_LAG_0762E,UC-218455,Lagos,Upgrade/Colo,MTN,Aviat_eband,9-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
322,IHS_AKW_0796A,UC-219710,PHC,Upgrade/Colo,MTN,5G,16-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,SNOWVIEW SUPPORT SERVICE LIMITED
323,IHS_ENG_0026B,CO-227939,Enugu,Upgrade/Colo,MTN,2G,9-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Shenymann Projectplus Ltd
324,IHS_ONT_0064B,CO-226744,Asaba,Upgrade/Colo,Airtel,2G,16-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,SNOWVIEW SUPPORT SERVICE LIMITED
325,IHS_ONT_0064B,UC-226747,Asaba,Upgrade/Colo,Airtel,3G,16-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
326,IHS_ABJ_1615H,UC-226968,Abuja,Upgrade/Colo,MTN,5G,15-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,AR-SAEED INTERNATIONAL SERVICES LIMITED
327,IHS_LAG_1227A,UC-226890,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
328,IHS_LAG_0622B,UC-226878,Lagos,Upgrade/Colo,MTN,NFE_Growth,9-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,BOLAMARK ENGINEERING LIMITED
329,IHS_LAG_1886A,UC-226866,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
330,IHS_LAG_1884A,UC-220013,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,Upgrade Cancelled,Upgrade Cancelled,Cancelled,0,0
331,IHS_LAG_1854A,UC-226849,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
332,IHS_LAG_0374B,UC-226829,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
333,IHS_LAG_1749A,UC-219996,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,Upgrade Cancelled,Upgrade Cancelled,Cancelled,0,0
334,IHS_LAG_1934A,UC-226820,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
335,IHS_LAG_1512A,UC-226807,Lagos,Upgrade/Colo,MTN,NFE_Growth,9-Dec-22,Q4'22,BOQ Approved and Power Upgrade Not Required,RFI Completed,NQA,Rollout Project Manager,BOLAMARK ENGINEERING LIMITED
336,IHS_LAG_0839E,UC-226804,Lagos,Upgrade/Colo,MTN,NFE_Growth,9-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,GLOVTEX TELECOMMUNICATION LIMITED
337,IHS_LAG_1577A,UC-226797,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,GLOVTEX TELECOMMUNICATION LIMITED
338,IHS_LAG_0869E,UC-226794,Lagos,Upgrade/Colo,MTN,NFE_Growth,9-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Bedrock Multifunctions Limited
339,IHS_LAG_1525A,UC-226793,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
340,IHS_LAG_1517A,UC-226787,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
341,IHS_LAG_0880E,UC-226781,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
342,IHS_LAG_1625A,UC-226777,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
343,IHS_LAG_2921C,UC-226775,Lagos,Upgrade/Colo,MTN,NFE_Growth,9-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,GLOVTEX TELECOMMUNICATION LIMITED
344,IHS_LAG_1173A,UC-220082,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,TELENOETICA LIMITED
345,IHS_LAG_1543A,UC-219965,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
346,IHS_LAG_1495A,UC-219958,Lagos,Upgrade/Colo,MTN,NFE_Growth,10-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
347,IHS_PHC_0226C,UC-221939,PHC,Upgrade/Colo,MTN,NAMA EBU,11-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,TELENOETICA LIMITED
348,IHS_RIV_0727E,UC-221931,PHC,Upgrade/Colo,MTN,NAMA EBU,11-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,Bedrock Multifunctions Limited
349,IHS_BNY_0006B,UC-221924,PHC,Upgrade/Colo,MTN,NAMA EBU,11-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,Bedrock Multifunctions Limited
350,IHS_RIV_0803A,UC-222836,PHC,Upgrade/Colo,MTN,NAMA EBU,11-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,0,Bedrock Multifunctions Limited
351,IHS_RIV_0962A,CO-229195,PHC,Upgrade/Colo,Airtel,2G,14-Dec-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,Bedrock Multifunctions Limited
352,IHS_RIV_0962A,UC-229219,PHC,Upgrade/Colo,Airtel,3G,14-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IHS
353,IHS_EDO_0003B,CO-229217,Asaba,Upgrade/Colo,Airtel,2G,16-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,EKM
354,IHS_EDO_0003B,UC-229241,Asaba,Upgrade/Colo,Airtel,3G,16-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
355,IHS_KWA_0892A,UC-227507,Ibadan,Upgrade/Colo,MTN,L7,16-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
356,IHS_ENG_1027A,UC-207846,Enugu,Upgrade/Colo,MTN,L8,9-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,CENTDOOR LIMITED
357,IHS_ENG_1027A,UC-186686,Enugu,Upgrade/Colo,MTN,L18,9-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,0
358,IHS_ENG_1027A,UC-207847,Enugu,Upgrade/Colo,MTN,L26,9-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,IHS
359,IHS_OYO_0872A,CO-230522,Ibadan,Upgrade/Colo,Airtel,2G,9-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,NUVERAS TECHNOLOGIES LIMITED
360,IHS_OYO_0872A,UC-230530,Ibadan,Upgrade/Colo,Airtel,3G,9-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
361,IHS_ABI_0718E,CO-231244,Enugu,Upgrade/Colo,Airtel,2G,14-Dec-22,Q4'22,BOQ Approved and Power Upgrade Not Required,RFI Completed,NQA,Rollout Project Manager,SNOWVIEW SUPPORT SERVICE LIMITED
362,IHS_ABI_0718E,UC-231290,Enugu,Upgrade/Colo,Airtel,3G,14-Dec-22,Q4'22,Equipment On Air,FAC Completed and Equipment On Air,Closed,0,IHS
363,IHS_ANA_1151A,CO-231258,Asaba,Upgrade/Colo,Airtel,2G,13-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,SNOWVIEW SUPPORT SERVICE LIMITED
364,IHS_ANA_1151A,UC-231299,Asaba,Upgrade/Colo,Airtel,3G,13-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
365,IHS_LAG_1097A,CO-231240,Lagos,Upgrade/Colo,Airtel,2G,15-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,LAFRED ENGINEERING COMPANY LIMITED
366,IHS_LAG_1097A,UC-231277,Lagos,Upgrade/Colo,Airtel,3G,15-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
