834,834,834,834,834,834,834,834,834,834,,834,,832
41,IHS_ANA_1117A,CO-212893,Asaba,Upgrade/Colo,Airtel,2G,19-Aug-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,BOLAMARK ENGINEERING LIMITED
42,IHS_DEL_1114A,CO-217127,Asaba,Upgrade/Colo,Airtel,2G,06-Sep-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,SNOWVIEW SUPPORT SERVICE LIMITED
43,IHS_ANA_0873A,CO-217138,Asaba,Upgrade/Colo,Airtel,2G,02-Sep-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,EZZENTIAL GLOBAL SERVICES
44,IHS_DEL_1129A,CO-217148,Asaba,Upgrade/Colo,Airtel,2G,21-Aug-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,FARALIM GLOBAL SERVICES NIGERIA LIMITED
45,IHS_KAT_0021B,UC-201692,Kano,Upgrade/Colo,Airtel,FE,20-Aug-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,AR-SAEED INTERNATIONAL SERVICES LIMITED
46,IHS_LAG_1500A,UC-211034,Lagos,Upgrade/Colo,Airtel,IPRAN,29-Aug-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IENGINEERING NIGERIA LIMITED
47,IHS_ABJ_1143A_New,UC-216530,Abuja,Upgrade/Colo,Airtel,IPRAN,29-Aug-22,Q3 '22,BOQ Approved and Power Upgrade Not Required,BOQ Approved and Power Upgrade Not Required,NQA,NQA,TOTAL SECURE NIGERIA LIMITED
48,IHS_ABJ_0968A_New,UC-216531,Abuja,Upgrade/Colo,Airtel,IPRAN,25-Aug-22,Q3 '22,BOQ Approved and Power Upgrade Not Required,BOQ Approved and Power Upgrade Not Required,NQA,NQA,TOTAL SECURE NIGERIA LIMITED
49,IHS_BOR_0857A_New,UC-214094,Kano,Upgrade/Colo,Airtel,LTE 2600,29-Aug-22,Q3 '22,BOQ Approved and Power Upgrade Not Required,BOQ Approved and Power Upgrade Not Required,NQA,NQA,FARALIM GLOBAL SERVICES NIGERIA LIMITED
50,IHS_LAG_0066Z,UC-214126,Lagos,Upgrade/Colo,Airtel,LTE 2600,25-Aug-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,BOLAMARK ENGINEERING LIMITED
51,IHS_LAG_1382A,UC-214134,Lagos,Upgrade/Colo,Airtel,LTE 2600,24-Aug-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,BOLAMARK ENGINEERING LIMITED
52,IHS_KAN_0904A,UC-196405,Kano,Upgrade/Colo,Airtel,LTE 900,20-Aug-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,BOLAMARK ENGINEERING LIMITED
